id,calificacion_producto,comentario,fecha,hora,productx_id,userx_id
29,1,"The Riviera is located on a part of the Strip that is removed from the more populated, safe, and ""happening"" areas, which are mid-Strip and South Strip. The Riviera is located on North Strip and is near the Stratosphere, Circus Circus, Slots-a-Fun, and Silver City. They are all old generation hotels and are a painful walk from the newer properties on the Strip. That part of the Strip is also palpably more seedy - on one occasion I witnessed a man standing next to a garbage can, removing a rubber arm tie from his arm, presumably after shooting up, judging by his appearance. Things like this really take away from a vacation.  
 
So for me, the Riviera is not even on my list of ""maybe"" hotels when I go to Vegas.",2016-02-23,17:32:12,2130,226185
30,5,,2016-02-25,23:12:34,3092,12
31,4,"In conclusion, Danny and I enjoyed a fabulous vacation at Disney World. Of all the places I’ve visited in my lifetime, this was by far my most magical adventure. Disney will never be the same for me as it was that year. It was my first time, and my little brother is not so little anymore. Sometimes, now, when I look at his broad shoulders and baby soft facial hair; when I hear his deep, intelligent voice; when I watch him pull out of my mom’s driveway… I see a tired little boy dressed in mouse ears, waving flags on Main Street, collecting character autographs, and wildly giggling at the top of his ten-year-old lungs. I ache for that vacation all over again…  ",2016-02-25,11:32:23,2654,10684
32,4,,2016-02-25,16:39:56,5927,226185
33,4,"Don't get me wrong. Palace Station is a great place...if you're a local and like to gamble. You see, all of the promotions (money and prize giveaways) are geared towards the locals. They give prizes away, but while I was visiting, they were only giving them away weekly. So, if, like me, you arrive on a Saturday, and are leaving on Thursday, you miss the Friday drawings! Yikes! While playing there, I earned a bunch of free tickets to use to enter the drawings, but I had to be PRESENT TO WIN. What a letdown.  
 
With that said, the dealers are overall a pretty friendly lot. It appears they see a lot of regulars, so they welcome a fresh face now and then and ask genuine questions about you. ",2016-02-25,11:32:23,4210,31680
34,4,,2016-02-25,14:00:02,7049,225112
35,3,,2016-02-28,9:22:23,6149,1
36,5,"Security was extremely lax. I saw a security officer once, on the morning I was leaving the hotel, on the elevator. If you were coming into the hotel from the outside, you could gain access from any door without using a room key.  
 
I was scheduled to stay for 6 nites, after 3 nites, I left. I was a female traveling by myself and did not feel safe here. I left and checked into The Hotel Royal Plaza on Hotel Plaza Boulevard where the Security was stepped up.  
 
Although the property was clean and attractive, safety is paramount. I would not recommend this property for this reason, and this reason alone.",2016-02-28,23:12:34,5528,29195
37,2,"As I mentioned earlier we were there 25 years ago and liked it so much we went back for our 25th anniversary. If everything goes well we’ll go back again for another occasion. I only hope that this time it will not be 25 more years. It’s a great place for the entire family. Everyone is treated like they are the most important people there by all the staff. You are greeted with “Aloha!” by all the staff. Every question is answered in a quick and efficient manner. If you want reservations to a show or dinner they make you feel like they really want to make them for you.  
 
Of all the places I’ve stayed over the years, Disney’s Polynesian Resort is the best!!!!!!! ",2016-02-28,17:32:12,5592,36006
38,1,"The minute that I pulled up to this hotel, I was awaited by the bell man in their proper blue jackets, welcoming us to one of the greatest cities in the country, San Francisco. This was my first time here, and I knew that staying at the Ritz would certainly not displease me, but the overall stay was much better than what I imagined. There was so much to do just inside the hotel that it made touring the city seem boring. First of all, there are many restaurants located throughout the large hotel. Anything from the garden restaurant, to the little lobby restaurant for tea and cookies, to the award winning dining room, voted the best in San Francisco. Though, beware, look at the prices before you order. Nothing here is cheap, but there is not doubt that it is worth it. After a long day of touring the city, why not go for a swim in the amazing health center? There is an indoor pool, masseuse, and an incredible exercise room fitting all of your needs. Then, stop by the concierge to get a recommendation for the best restaurants in town, if you want to leave the hotel of course. If you are not in the mood to leave your room, there are many hit movies to choose from, and room service is exquisite. Anything from a business trip to a family vacation, The Ritz can make anyone feel satisfied. This hotel has modern amenities, but still keeps the charm and luxury of historical San Francisco. This is certainly an extraordinary hotel which would make any stay in San Francisco an amazing one. ",2016-02-28,23:12:34,4796,10684
39,3,"I stayed in the room, as I was only staying one night. What really put me off was that it was not clean (hairs in the tub, dust in the mini-bar, etc.)  
 
Needless to say, I spent as little time as possible in the hotel, and checked-out bright and early the next day ",2016-02-28,10:30:12,6657,33030
40,1,"Looking at some of the other reviews I am not the only one to recommend Disney's Wilderness Lodge. Not only does it allow you to escape everything that is Mickey for at least a while, it makes you feel at home. It is clean, beautiful and the cast members are indulgent and responsive.  ",2016-02-29,17:32:12,6761,224320
41,1,"I would highly recommend Treasure Island to those looking for a comfortable, convenient place to stay at a lower cost. While it may not be the newest or most spectacular, Treasure Island has nearly as much to offer as the other strip hotels. It is a great 'home base' for your trip to Vegas. ",2016-02-29,10:30:12,4434,1
42,1,All in all we had a really great stay at the Golden Nugget. I would definitely stay there again,2016-03-1,16:39:56,5726,32152
43,1,,2016-03-1,23:12:34,5345,6661
44,1,"This hotel is poorly laid out. It took us several days to find the lower level which is where the Krispy Kreme doughnuts, and exercise room is.  
 
Upon check-out the hotel manager wanted to hold a deposit on my credit card. I pitched a fit. I asked him should I hold his towels as a deposit, and return them later? Needless to say the deposit was removed after housekeeping inspected our room. This was not a lovely stay. We much prefer the Starwood Vistana and Oaks Plantation Resorts to the Dolphin. We actually had maid service there.  
",2016-03-1,9:22:23,5794,35680
45,2,,2016-03-2,12:04:32,4632,28536
46,5,"I had a truly great time during my stay at the Wilderness Lodge, I really did. Not many may take the time to check out the resort because they're so busy wanting to see and do everything they can in Disney World, but I advise you as a potential future guest to walk through it and see what you can. From the moment you set foot through the door, you get a very cozy, inviting, warm feeling from the place and that feeling lasts the entire length of your stay. The service is great, you get a good night's rest, and as a resort guest are also treated to free refills on coffee after your initial purchase of a resort mug. Wilderness Lodge is an extremely well-done Disney resort, very relaxing, a treat to stay at, and you're guaranteed to have a great time in an already great vacation destination. ",2016-03-2,17:32:12,5005,29557
47,4,"One day I had to go to the Spa. I decided on a package that had a facial, partial massage, and manicure. The price was about $100, and it took the whole afternoon. The total spa area is 25,000 sq ft, and has it's own partially enclosed pool, elaborate exercise facility, and lava rock showers.  
 
This hotel is a real winner, complete with it's own 18 hole golf course. Although I would be cautious about the time of year I visited, I would say there is no way you could be disappointed in your stay here.",2016-03-3,9:22:23,6169,30648
48,4,"Perhaps the greatest incentives in staying at the Nugget (besides its adult atmosphere) are its proximity to several other casinos downtown and its outstanding quality for money spent. Rates are modest by Vegas standards, given the luxury of this resort. Once you stay at the Golden Nugget several times, you are invited to join their ""Private Arrangement"" club, where discounts and freebies are offered to frequent guests. In August I stayed at the Nugget midweek for $39/night, with a $25 certificate for food in any of the hotel's restaurants. Other privileges include a ""go to the head of the line"" card, where one can avoid long lines at the buffet and coffee shop, and a free night for every four nights accrued. It's tough to pass up a good deal like this.",2016-03-3,17:32:12,3740,35884
49,1," 
So, of course, we decided to stay here again on our next trip in 1999. What a mistake! The food was still wonderful, the casino is still the only won I could win ANY money at, but the service was not up to par.  
Our room, with the nasty old carpet and the hole in the bathroom door, was not what I expected after spending so much money for a vacation!  
While inquiring about tickets to a show we were told ""I don't know, call them and find out""! As for taking the shuttle to the strip, plan to wait at least 30 minutes to an hour!  ",2016-03-4,10:30:12,5325,33030
50,2,"At breakfast, I was once again disappointed. The chair cushions where worn and torn, and the seating arrangement was uncomfortable. It was too crowded. The breakfast was far from good as the bacon was dried up and the coffee was dull.  
 
Overall, I am very disappointed with the hotel, however I had a good time for New Years 2003 in New York city!  ",2016-03-5,17:32:12,6417,35238
